score,id,Title,Parent,Parent Slug
12877.5,3422,Today's Minimum Mortgage Requirements,146,home/mortgage
12263.1,3468,Benefits of Closing at the End of the Month: When is Your First Mortgage Payment Due?,146,home/mortgage
7184,3350,How to Lower Your Mortgage Payment,150,home/refinance
5767.6,7077,Home Loans For Bad Credit,146,home/mortgage
5179.2,3325,Get a Home Equity Loan with Bad Credit,142,home/home-equity
4059.9,6016,Unsecured Loans after Bankruptcy: What You Need to Know,3123,personal/unsecured
3807.3,3314,How Much are Home Equity Loan Closing Costs?,142,home/home-equity
3687.1,3040,Car Loan Documentation Checklist: The 8 Things You Need,99,auto
3612.1,3569,Refinancing an Upside Down Car Loan,7509,auto/refinance/car-loans
3380.8,3527,Understanding Construction Loans,146,home/mortgage
3340.7,2353,Getting an FHA Construction Loan,27,home/fha
3284.2,7073,What Credit Score Do You Need to Buy a House?,146,home/mortgage
3277.1,5514,"Letter of Explanation: What, Why and How",146,home/mortgage
3030.7,5775,FHA Refinance: Conventional or Streamline?,27,home/fha
3023.1,7803,How to Qualify for a Home Equity Loan in 2018,142,home/home-equity
3011.8,411,Bad Credit Motorcycle Loans,113,auto/motorcycle
2920.7,16713,Can You Get a Home Equity Line of Credit on an Investment Property?,7471,home/home-equity/heloc
2800.4,3280,What Credit Score Do You Need for a Personal Loan?,164,personal
2655.3,3284,How to Qualify for a Personal Loan: Are you a good candidate?,164,personal
2654.7,3415,Do No Income Verification Mortgages Still Exist?,146,home/mortgage
2487,3329,How Much is My House Worth: Understanding Home Equity,142,home/home-equity
2453.8,3368,Learn How to Refinance With Bad Credit,150,home/refinance
2441.8,7799,How to Get a Bridge Loan,146,home/mortgage
2392.6,3000,Car Loans After Chapter 7 Bankruptcy,99,auto
2311,16226,How to Pay Off Your Car Loan Faster: 11 Hacks For Successful Payoff,109,auto/refinance
2279.5,401,Bad Credit Boat Loans: How to Get Approved,1389,boat
2269,6068,Q&A: Can You Buy a Money Order With a Credit Card?,133,credit-cards/tips
2257,19119,Toyota Financing: Know Your Options in 2018,99,auto
2237.2,3270,Can You Use a Personal Loan to Buy a Car Instead of an Auto Loan?,164,personal
2167.8,2218,Refinance Your Car into Someone Else's Name: Is it Possible?,7509,auto/refinance/car-loans
2141.7,3266,How to Finance a New AC Unit: What You Need to Know,164,personal
2098.6,3400,Complete Guide to HomeStyle Renovation Mortgage,146,home/mortgage
2092.5,3363,How Much Does It Cost To Refinance?,150,home/refinance
2009.6,441,84 Month Auto Loan: A Good Idea?,99,auto
